color_hex,frequency
#ebebeb,21
#747474,10
#ebeae9,7
#ececec,6
#080404,5
#6c7484,4
#6c747c,4
#ebe9e7,4
#74747c,4
#7c7c7c,4
#ebeaea,3
#28293a,3
#b3845e,3
#ebe9e8,3
#ebe6e2,3
#b6865e,3
#b6865d,3
#746c80,2
#eae6e3,2
#7a7474,2
#98735f,2
#746c74,2
#e9e8e7,2
#8e8991,2
#7f5a4f,2
#885e3d,2
#865c3c,2
#cd9f7a,2
#b8875e,2
#0f0f0f,2
#826051,2
#747482,2
#081822,2
#cd9f7b,2
#cea079,2
#8a5f3d,2
#34313f,1
#aca4b0,1
#e5dad1,1
#8d8d98,1
#22233a,1
#cba07e,1
#7c7c82,1
#928e8b,1
#b6885f,1
#855d3c,1
#242533,1
#938c89,1
#b3845d,1
#252434,1
#ebe8e5,1
#9a979f,1
#96918a,1
#847f84,1
#b4b4b9,1
#9f776e,1
#6e4a48,1
#6f7c88,1
#b6bbbf,1
#5c7ca8,1
#818995,1
#987460,1
#78574f,1
#0e2638,1
#d4c8c2,1
#878a9c,1
#8c94a2,1
#626677,1
#745134,1
#212335,1
#dbc7b5,1
#968b84,1
#885c3a,1
#29242d,1
#6c7479,1
#8d8983,1
#b3835c,1
#895e3f,1
#262636,1
#ebeae8,1
#aeabbb,1
#b2825b,1
#8f6241,1
#2c2934,1
#747c7c,1
#865d3e,1
#767083,1
#8d9aa8,1
#81584c,1
#182e44,1
#d9cec8,1
#7c74a4,1
#b4b4d3,1
#7d84a4,1
#9eaecf,1
#495281,1
#e9eaee,1
#cf9e7c,1
#949bae,1
#b78560,1
#8b5d3f,1
#312723,1
#e9e9ea,1
#74748c,1
#acaca5,1
#8e8677,1
#9e9891,1
#3e3e57,1
#e6e4e3,1
#968c85,1
#cfa079,1
#885e3c,1
#25222c,1
#979189,1
#cfa07a,1
#b5845c,1
#8c5e3c,1
#88919a,1
#9e745e,1
#64848c,1
#ada4b6,1
#2c4c57,1
#ececed,1
#949cb0,1
#eae8e7,1
#413026,1
#e7e6e7,1
#936b58,1
#b18373,1
#848387,1
#75514c,1
#19232b,1
#d4c5c1,1
#77757c,1
#746a81,1
#dfcab8,1
#8d889b,1
#252236,1
#8295b0,1
#6077a3,1
#926052,1
#39537b,1
#0f2436,1
#d2c1b8,1
#888484,1
#8c8c86,1
#724d34,1
#9a6744,1
#161213,1
#805f52,1
#94989e,1
#2f2d3b,1
#24253c,1
#8b8b8d,1
#131317,1
#cc9e81,1
#8f8d8d,1
#865d3f,1
#816151,1
#9c7268,1
#6a4947,1
#6c7e8b,1
#061721,1
#b4b9bd,1
#746c79,1
#8f8e99,1
#948b85,1
#754d34,1
#b1845e,1
#8b6142,1
#252334,1
#6c7480,1
#8e8f9b,1
#1d2035,1
#7a7577,1
#9d786c,1
#6a4b44,1
#0f1c24,1
#beb9ba,1
#8c8c9c,1
#8c9498,1
#6c6c6e,1
#222230,1
#b4855e,1
#91908f,1
#949189,1
#ac815e,1
#855c40,1
#201b1b,1
#aca4ac,1
#746c71,1
#8f8f8f,1
#0c0a0d,1
#989289,1
#cea07b,1
#8c5f3e,1
#3b2b1d,1
#747882,1
#9f776b,1
#6b4b48,1
#32363d,1
#bebec1,1
#aea1a8,1
#766a72,1
#8f8a92,1
#1c1c2f,1
#8b8e92,1
#825b51,1
#9e755f,1
#b48d78,1
#112534,1
#dad2cc,1
#70727c,1
#1c2033,1
#b4865d,1
#e8e4e2,1
#8d8e98,1
#212339,1
#aca4ad,1
#8c8c95,1
#191e35,1
#746c78,1
#8c8d9a,1
#1f223b,1
#c5a082,1
#9c968d,1
#b3855e,1
#895f3f,1
#402a1b,1
#acaaa8,1
#d9c0ae,1
#7c8084,1
#74747f,1
#99948d,1
#373a46,1
#926959,1
#ad8072,1
#73818c,1
#754e4a,1
#c4c3c5,1
#071721,1
#989185,1
#cea07a,1
#8c6240,1
#746c7c,1
#aca4b4,1
#0c2232,1
#dcd4cf,1
#6384af,1
#8b8285,1
#99735f,1
#7e5b4f,1
#11273a,1
#dcd5d1,1
#959089,1
#b5855d,1
#885d3d,1
#221c1c,1
#8d807f,1
#b68f7c,1
#ddd6d1,1
#0e2232,1
#040404,1
#aea1b0,1
#766979,1
#8e8893,1
